X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2460802931306,45.0014227611663,0013XX TYLER ST NE,MP2018276498        ,2     ,2018/08/16 00:00:00+00,2048,2018/08/16 00:00:00+00,2018/08/16 20:48:00+00,1600,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/08/17 00:00:00+00,16854,-93.24608,45.00142,-10380106.1767,5621745.4736,Northeast Park,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3253
-93.2778775936283,44.9546380203445,0026XX NICOLLET AVE,MP2018276548        ,5     ,2018/08/16 00:00:00+00,2126,2018/08/16 00:00:00+00,2018/08/16 21:26:00+00,2100,ROBPAG  ,ROBBERY PER AGG               ,04 ,2018/08/17 00:00:00+00,16208,-93.27787,44.95463,-10383645.836,5614382.9956,Whittier,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3254
-93.2341253112086,44.9837070667359,0013XX 7TH ST SE,MP2018276561        ,2     ,2018/08/16 00:00:00+00,2210,2018/08/16 00:00:00+00,2018/08/16 22:10:00+00,1945,THEFT   ,OTHER THEFT                   ,07 ,2018/08/17 00:00:00+00,,-93.23412,44.9837,-10378775.3542,5618956.8619,Marcy Holmes,2018/08/17 00:00:00+00,2022/03/26 07:00:58+00,3255
-93.2127473235531,44.938768379138,0035XX 42ND AVE S,MP2018276593        ,3     ,2018/08/17 00:00:00+00,41,2018/08/16 00:00:00+00,2018/08/17 00:41:00+00,2030,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/17 00:00:00+00,21192,-93.21274,44.93876,-10376395.5675,5611886.9661,Howe,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3256
-93.2191377812791,44.9368084700416,0036XX 37TH AVE S,MP2018276621        ,3     ,2018/08/17 00:00:00+00,43,2018/08/16 00:00:00+00,2018/08/17 00:43:00+00,2210,ROBPAG  ,ROBBERY PER AGG               ,04 ,2018/08/17 00:00:00+00,,-93.21913,44.9368,-10377106.95,5611578.753,Howe,2019/05/03 00:00:00+00,2022/03/26 07:00:58+00,3257
-93.2557669768579,44.9679312023326,0008XX 13TH AVE S,MP2018276624        ,1     ,2018/08/16 00:00:00+00,2317,2018/08/09 00:00:00+00,2018/08/16 23:17:00+00,1800,ASLT3   ,ASLT-SGNFCNT BDLY HM          ,05 ,2018/08/17 00:00:00+00,,-93.25576,44.96793,-10381184.4934,5616474.3224,Elliot Park,2018/10/24 00:00:00+00,2022/03/26 07:00:58+00,3258
-93.2430079156201,45.0149841990349,0011XX 26TH AVE NE,MP2018276665        ,2     ,2018/08/17 00:00:00+00,2,2018/08/16 00:00:00+00,2018/08/17 00:02:00+00,2312,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2018/08/17 00:00:00+00,10657,-93.243,45.01498,-10379764.1612,5623880.7502,Audubon Park,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3259
-93.2537361312406,44.9528417274948,0027XX 15TH AVE S,MP2018276724        ,3     ,2018/08/17 00:00:00+00,4,2018/08/16 00:00:00+00,2018/08/17 00:04:00+00,2000,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/17 00:00:00+00,16879,-93.25373,44.95284,-10380958.4207,5614100.4341,Midtown Phillips,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3260
-93.2766013436294,44.9528381884001,0027XX 1ST AVE S,MP2018276736        ,5     ,2018/08/15 00:00:00+00,1414,2018/08/14 00:00:00+00,2018/08/15 14:14:00+00,1400,THEFT   ,OTHER THEFT                   ,07 ,2018/08/20 00:00:00+00,16216,-93.2766,44.95283,-10383503.7645,5614099.8774,Whittier,2018/09/19 00:00:00+00,2022/03/17 09:10:30+00,3261
-93.2742586155218,44.9791825696785,0002XX 6TH ST N,MP2018276771        ,1     ,2018/08/17 00:00:00+00,247,2018/08/17 00:00:00+00,2018/08/17 02:47:00+00,40,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2018/08/17 00:00:00+00,17105,-93.27425,44.97918,-10383242.9732,5618244.803,Downtown West,2018/10/03 00:00:00+00,2022/03/17 09:10:30+00,3262
-93.2260939898863,44.9359532731796,0032XX 37TH ST E,MP2018276827        ,3     ,2018/08/17 00:00:00+00,320,2018/08/17 00:00:00+00,2018/08/17 03:20:00+00,130,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,05,2018/08/17 00:00:00+00,21190,-93.22609,44.93595,-10377881.3116,5611444.269,Howe,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3263
-93.2788078386308,44.9483470443941,0002XX LAKE ST W,MP2018276838        ,5     ,2018/08/17 00:00:00+00,209,2018/08/17 00:00:00+00,2018/08/17 02:09:00+00,205,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2018/08/17 00:00:00+00,21928,-93.2788,44.94834,-10383749.3904,5613393.4476,Whittier,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3264
-93.2487186199672,44.9875877736645,0005XX 4TH AVE SE,MP2018276863        ,2     ,2018/08/17 00:00:00+00,340,2018/08/17 00:00:00+00,2018/08/17 03:40:00+00,200,ROBPER  ,ROBBERY OF PERSON             ,04 ,2018/08/17 00:00:00+00,,-93.24871,44.98758,-10380399.8739,5619567.6468,Marcy Holmes,2018/10/12 00:00:00+00,2022/03/26 07:00:58+00,3265
-93.2774358030698,44.9760866363403,0009XX HENNEPIN AVE,MP2018276880        ,1     ,2018/08/17 00:00:00+00,450,2018/08/17 00:00:00+00,2018/08/17 04:50:00+00,200,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2018/08/18 00:00:00+00,16704,-93.27743,44.97608,-10383596.6561,5617757.6018,Downtown West,2018/08/24 00:00:00+00,2022/03/17 09:10:30+00,3266
-93.2793299376773,44.9670454596522,0015XX LASALLE AVE,MP2018276894        ,1     ,2018/08/17 00:00:00+00,356,2018/08/17 00:00:00+00,2018/08/17 03:56:00+00,356,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/08/17 00:00:00+00,,-93.27932,44.96704,-10383807.5102,5616334.9594,Loring Park,2018/08/17 00:00:00+00,2022/03/26 07:00:58+00,3267
